,,,,深圳新城无业绩，奖金基数值均为老城业绩,,,304900.00 ,
序号,城市,咨询师工号,城市Y值,奖金基数值,职级,等级比例值,奖金金额,7月所在城市是新城or老城
1,北京,278,79589.94 ,116251.35 ,C2,1.46 ,500.00 ,老城
2,北京,311,79589.94 ,163426.82 ,C4,2.05 ,3000.00 ,老城
3,北京,339,79589.94 ,139741.95 ,C3,1.76 ,1000.00 ,老城
4,北京,337,79589.94 ,0.00 ,C1,0.00 ,0.00 ,老城
5,北京,428,79589.94 ,248774.29 ,C3,3.13 ,1000.00 ,老城
6,北京,476,79589.94 ,201976.38 ,C5,2.54 ,8000.00 ,老城
7,北京,514,79589.94 ,57660.90 ,C5,0.72 ,8000.00 ,老城
8,北京,629,79589.94 ,0.00 ,C1,0.00 ,0.00 ,老城
9,北京,628,79589.94 ,682120.65 ,C5,8.57 ,8000.00 ,老城
10,北京,672,79589.94 ,297876.22 ,C5,3.74 ,8000.00 ,老城
11,北京,673,79589.94 ,0.00 ,C1,0.00 ,0.00 ,老城
12,北京,723,79589.94 ,100000.00 ,C2,1.26 ,500.00 ,老城
13,北京,724,79589.94 ,170329.89 ,C3,2.14 ,1000.00 ,老城
14,北京,722,79589.94 ,93726.45 ,C2,1.18 ,500.00 ,老城
15,北京,742,79589.94 ,330494.83 ,C3,4.15 ,1000.00 ,老城
16,北京,812,79589.94 ,104149.50 ,C2,1.31 ,500.00 ,老城
17,北京,859,79589.94 ,194505.40 ,C4,2.44 ,3000.00 ,老城
18,北京,860,79589.94 ,443863.34 ,C3,5.58 ,1000.00 ,老城
19,北京,861,79589.94 ,86850.18 ,C1,1.09 ,0.00 ,老城
20,北京,862,79589.94 ,95726.24 ,C2,1.20 ,500.00 ,老城
21,北京,966,79589.94 ,94976.60 ,C4,1.19 ,3000.00 ,老城
22,北京,962,79589.94 ,32000.00 ,C4,0.40 ,3000.00 ,老城
23,北京,1044,79589.94 ,132799.02 ,C3,1.67 ,1000.00 ,老城
24,北京,1042,79589.94 ,114466.43 ,C2,1.44 ,500.00 ,老城
25,北京,1040,79589.94 ,77555.87 ,C4,0.97 ,3000.00 ,老城
26,北京,1108,79589.94 ,440032.25 ,C3,5.53 ,1000.00 ,老城
27,北京,1109,79589.94 ,216933.02 ,C3,2.73 ,1000.00 ,老城
28,北京,1192,79589.94 ,0.00 ,C4,0.00 ,3000.00 ,老城
29,北京,1190,79589.94 ,114956.29 ,C2,1.44 ,500.00 ,老城
30,北京,1306,79589.94 ,0.00 ,C4,0.00 ,3000.00 ,老城
31,北京,1301,79589.94 ,0.00 ,C1,0.00 ,0.00 ,老城
32,北京,1312,79589.94 ,140130.46 ,C3,1.76 ,1000.00 ,老城
33,北京,1304,79589.94 ,69945.09 ,C4,0.88 ,3000.00 ,老城
34,北京,1313,79589.94 ,0.00 ,C1,0.00 ,0.00 ,老城
35,北京,1374,79589.94 ,167644.89 ,C3,2.11 ,1000.00 ,老城
36,北京,1371,79589.94 ,38763.33 ,C0,0.49 ,0.00 ,老城
37,北京,1376,79589.94 ,0.00 ,C0,0.00 ,0.00 ,老城
38,北京,1377,79589.94 ,0.00 ,C1,0.00 ,0.00 ,老城
39,北京,1437,79589.94 ,240000.00 ,C3,3.02 ,1000.00 ,老城
40,北京,1542,79589.94 ,0.00 ,C1,0.00 ,0.00 ,老城
41,北京,1550,79589.94 ,36657.84 ,C1,0.46 ,0.00 ,老城
42,北京,1547,79589.94 ,0.00 ,C1,0.00 ,0.00 ,老城
43,北京,1536,79589.94 ,93686.89 ,C0,1.18 ,0.00 ,老城
44,北京,1545,79589.94 ,56902.51 ,C0,0.71 ,0.00 ,老城
45,北京,1713,79589.94 ,0.00 ,C0,0.00 ,0.00 ,老城
46,北京,1724,79589.94 ,0.00 ,C0,0.00 ,0.00 ,老城
47,北京,1725,79589.94 ,35055.87 ,C0,0.44 ,0.00 ,老城
48,北京,1721,79589.94 ,0.00 ,C0,0.00 ,0.00 ,老城
49,北京,1718,79589.94 ,72627.40 ,C0,0.91 ,0.00 ,老城
50,北京,1722,79589.94 ,0.00 ,C0,0.00 ,0.00 ,老城
51,北京,1716,79589.94 ,0.00 ,C0,0.00 ,0.00 ,老城
52,北京,1893,79589.94 ,0.00 ,C0,0.00 ,0.00 ,老城
53,北京,1891,79589.94 ,0.00 ,C0,0.00 ,0.00 ,老城
54,北京,1998,79589.94 ,0.00 ,C0,0.00 ,0.00 ,老城
55,北京,1997,79589.94 ,0.00 ,C0,0.00 ,0.00 ,老城
56,北京,1995,79589.94 ,24605.25 ,C0,0.31 ,0.00 ,老城
