,,,,深圳新城无业绩，奖金基数值均为老城业绩,,,279200,
序号,城市,咨询师工号,城市Y值,奖金基数值,职级,等级比例值,奖金金额,8月所在城市是新城or老城
1,北京,278,81716.37,0,C1,0,0,老城
2,北京,311,81716.37,180000,C4,2.2,3000,老城
3,北京,337,81716.37,204000,C3,2.5,1000,老城
4,北京,428,81716.37,124800,C3,1.53,1000,老城
5,北京,476,81716.37,292000,C5,3.57,8000,老城
6,北京,514,81716.37,180000,C4,2.2,3000,老城
7,北京,628,81716.37,665997.05,C4,8.15,3000,老城
8,北京,672,81716.37,0,C4,0,3000,老城
9,北京,673,81716.37,102628.31,C2,1.26,500,老城
10,北京,723,81716.37,187838.88,C3,2.3,1000,老城
11,北京,724,81716.37,108000,C2,1.32,500,老城
12,北京,722,81716.37,295876.13,C3,3.62,1000,老城
13,北京,742,81716.37,243000,C3,2.97,1000,老城
14,北京,812,81716.37,10000,C1,0.12,0,老城
15,北京,859,81716.37,0,C3,0,1000,老城
16,北京,860,81716.37,322947.67,C3,3.95,1000,老城
17,北京,861,81716.37,102628.31,C2,1.26,500,老城
18,北京,862,81716.37,216419.18,C3,2.65,1000,老城
19,北京,966,81716.37,0,C3,0,1000,老城
20,北京,962,81716.37,0,C3,0,1000,老城
21,北京,1042,81716.37,61880.04,C1,0.76,0,老城
22,北京,1040,81716.37,473269.18,C4,5.79,3000,老城
23,北京,1108,81716.37,75000,C1,0.92,0,老城
24,北京,1109,81716.37,0,C1,0,0,老城
25,北京,1192,81716.37,303000,C4,3.71,3000,老城
26,北京,1190,81716.37,0,C1,0,0,老城
27,北京,1306,81716.37,278257.16,C4,3.41,3000,老城
28,北京,1301,81716.37,0,C1,0,0,老城
29,北京,1312,81716.37,84469.03,C1,1.03,0,老城
30,北京,1304,81716.37,205068.05,C3,2.51,1000,老城
31,北京,1313,81716.37,0,C1,0,0,老城
32,北京,1374,81716.37,93698.85,C2,1.15,500,老城
33,北京,1371,81716.37,167345.16,C3,2.05,1000,老城
34,北京,1376,81716.37,0,C0,0,0,老城
35,北京,1377,81716.37,0,C1,0,0,老城
36,北京,1437,81716.37,0,C1,0,0,老城
37,北京,1542,81716.37,0,C1,0,0,老城
38,北京,1550,81716.37,93567.92,C2,1.15,500,老城
39,北京,1547,81716.37,0,C1,0,0,老城
40,北京,1536,81716.37,0,C1,0,0,老城
41,北京,1545,81716.37,0,C1,0,0,老城
42,北京,1713,81716.37,120000,C2,1.47,500,老城
43,北京,1724,81716.37,0,C0,0,0,老城
44,北京,1725,81716.37,60781.98,C1,0.74,0,老城
45,北京,1721,81716.37,88749.87,C1,1.09,0,老城
46,北京,1718,81716.37,45657.08,C0,0.56,0,老城
47,北京,1722,81716.37,180000,C3,2.2,1000,老城
48,北京,1893,81716.37,20000,C0,0.24,0,老城
49,北京,1891,81716.37,72745.21,C0,0.89,0,老城
50,北京,1998,81716.37,0,C0,0,0,老城
51,北京,1997,81716.37,69795.85,C0,0.85,0,老城
52,北京,1995,81716.37,3200,C0,0.04,0,老城
53,北京,1994,81716.37,0,C0,0,0,老城
54,北京,2130,81716.37,0,C0,0,0,老城
55,北京,1375,81716.37,0,C0,0,0,老城
56,北京,2132,81716.37,0,C0,0,0,老城
57,北京,2138,81716.37,0,C0,0,0,老城
58,北京,2137,81716.37,0,C0,0,0,老城
59,北京,2135,81716.37,0,C0,0,0,老城
60,北京,2134,81716.37,0,C0,0,0,老城
61,北京,2133,81716.37,0,C0,0,0,老城
62,北京,2248,81716.37,0,C0,0,0,老城
63,北京,2249,81716.37,0,C0,0,0,老城
